start time;end time;cache misses;cache references;branch instructions;branch misses;cache miss rate;branch miss rate
1687081893003;1687081893103;1209985;6061789;12776856;394706;0.19960856440235714;0.030892263323622025
1687081893322;1687081893422;1693799;6459990;10703282;515239;0.2621983934959652;0.04813841212443062
1687081893650;1687081893750;479481;5007891;13316883;159417;0.0957450950909275;0.011971044575521164
1687081893960;1687081894060;4314699;15771251;29740860;990021;0.2735800096010139;0.03328824385037958
1687081894222;1687081894322;3066349;12344458;30767324;1213890;0.2483988361416921;0.03945386995632119
1687081894522;1687081894622;2512764;8711823;23238590;586734;0.2884314798406717;0.025248261620003622
1687081894821;1687081894921;2051698;7169943;24828789;2076503;0.28615262352852733;0.0836328747245788
1687081895157;1687081895257;1320652;3142131;9177390;324913;0.4203045640044925;0.03540363872517132
1687081895488;1687081895588;1136715;5984532;14763926;405317;0.18994217091662305;0.027453199101648167
1687081895786;1687081895886;1880430;7591675;19158823;659435;0.2476963252510151;0.03441938995939364
1687081896065;1687081896165;1506826;5309814;9263732;461439;0.2837813151270459;0.049811350328355784
1687081896377;1687081896477;539195;2336633;22823949;641729;0.23075724771498135;0.028116475374178235
1687081896716;1687081896816;1421949;5483731;13696435;266757;0.2593032006858104;0.019476381992832442
1687081897042;1687081897142;393599;5380278;16691691;145698;0.07315588525351292;0.00872877409484755
1687081897356;1687081897456;1488618;5414949;13886543;389773;0.2749089603613995;0.028068396864504002
1687081897658;1687081897758;1574438;5942052;12576429;431960;0.2649653688658396;0.03434679271834636
1687081897969;1687081898069;1562866;2194490;6500798;390199;0.7121773168253216;0.06002324637682943
1687081898284;1687081898384;1361153;5553442;12258018;376425;0.24510078614308028;0.030708471793727175
1687081898524;1687081898624;6274933;19958632;118066181;2441740;0.31439694864858475;0.020681112739642186
1687081898832;1687081898932;1527366;5808167;9305997;423226;0.26296867841437754;0.04547884552294612
1687081899165;1687081899265;1298193;4830564;8603903;219983;0.2687456371554129;0.0255678149788532
1687081899508;1687081899608;1226030;2848875;6088175;307892;0.43035584221841955;0.05057213368538191
1687081899842;1687081899942;1968731;7176383;6980739;199333;0.2743347170851946;0.02855471319010781
1687081900164;1687081900264;2030640;8502674;24688169;948158;0.2388236924054715;0.03840535926337834
1687081900510;1687081900610;1394741;3733777;13195532;357965;0.3735469472333243;0.02712774293601804
1687081900821;1687081900921;390520;4590849;5692458;325028;0.08506487579966146;0.057098005817522064
1687081901148;1687081901248;1464871;5523192;15999695;383861;0.26522181376276616;0.023991769843112635
1687081901453;1687081901553;1437909;1546184;6057361;383647;0.9299727587402276;0.06333566713293132
1687081901784;1687081901884;1757742;3581321;8518374;610433;0.4908082799615002;0.07166074182702004
1687081902105;1687081902205;760180;5574982;12809301;382438;0.1363555972019282;0.029856273968423414
1687081902369;1687081902469;1917846;8256974;23143482;825773;0.23226983638315926;0.03568058600689386
1687081902617;1687081902717;1643246;2620114;26113128;198156;0.627165840875626;0.007588367046644125
1687081902955;1687081903055;1008688;5719114;14089095;385412;0.1763713750066881;0.027355341134402175
1687081903269;1687081903369;947825;3762336;6221730;148226;0.25192460216206103;0.02382392035655678
1687081903585;1687081903685;968055;5626157;13691042;400233;0.17206327516277986;0.029233202264663274
1687081903877;1687081903977;1636868;6151761;7473556;168890;0.26608120829141446;0.02259834541950311
1687081904208;1687081904308;1711289;6540195;9411157;602441;0.26165718300448226;0.06401348952100151
1687081904501;1687081904601;1613825;6089311;14664036;343509;0.2650258789541214;0.023425269823396506
1687081904849;1687081904949;1525267;2029264;5976887;403059;0.7516355683637023;0.06743627577365943
1687081905180;1687081905280;1410947;5623375;13776068;370562;0.2509075066130215;0.02689896710730522
1687081905509;1687081905609;2117744;7536474;7805266;693572;0.28099931081829516;0.08885949562769546
1687081905804;1687081905904;1403395;3440682;14263204;382562;0.407882797654651;0.026821603336809878
1687081906121;1687081906221;1452255;2859335;10359892;341012;0.5078995640594753;0.03291655936181574
1687081906477;1687081906577;742866;3132213;26153720;769956;0.2371696943981779;0.02943963612059776
1687081906792;1687081906892;1462056;5823329;10869348;389712;0.25106876152798513;0.03585422051074268
1687081907101;1687081907201;6254306;18991635;118746189;2886499;0.3293189870171789;0.02430814011218499
1687081907450;1687081907550;4517223;11708609;20577742;1069635;0.38580355702372504;0.05198019296772211
1687081907737;1687081907837;426013;3234788;7930146;171641;0.13169734770872157;0.021644116009970057
1687081908064;1687081908164;1616097;7210061;18964327;357435;0.22414470557183913;0.018847755578144165
1687081908326;1687081908426;1712153;7253846;15206375;509919;0.236033822609413;0.033533238526604794
1687081908578;1687081908678;1835238;8858668;16160745;526379;0.20716861722326652;0.03257145632828189
1687081908942;1687081909042;6087900;31966182;61808020;2100174;0.19044814297810103;0.033978988487254565
1687081909206;1687081909306;4761794;16471420;59149104;1418789;0.28909432216530206;0.023986652443627885
1687081909603;1687081909703;858207;3839227;12895303;431741;0.2235364045939456;0.0334804851037622
1687081909916;1687081910016;2277376;8914109;11452506;574394;0.25547993635707167;0.050154437814745524
1687081910214;1687081910314;1816286;8379429;14144526;482823;0.21675534215994907;0.03413497207329535
1687081910573;1687081910673;1331608;8998214;29415136;666686;0.14798581140657469;0.022664726078437985
1687081910913;1687081911013;2601257;11282488;22155705;759233;0.2305570367103426;0.03426805872347551
1687081911217;1687081911317;1399845;4454399;9619656;438377;0.31426125050764425;0.04557096428396192
1687081911505;1687081911605;997130;9087846;17747969;472756;0.10972126948454013;0.026637188739736924
1687081911809;1687081911909;531011;7047102;6410613;487208;0.07535168357148797;0.0760002202597474
1687081912132;1687081912232;1382661;5019071;9371702;352733;0.2754814586205296;0.03763809391293065
1687081912465;1687081912565;1733091;6666496;13722945;444303;0.2599703052398141;0.03237665093024857
1687081912743;1687081912843;5479493;22909973;37904856;2125231;0.239175009067012;0.05606751282738022
1687081913068;1687081913168;4620179;20913518;46018430;2095315;0.2209183074794016;0.04553208355869594
1687081913388;1687081913488;3049381;11318542;66220308;1099505;0.2694146472222306;0.01660374337129329
1687081913807;1687081913907;2095714;8443807;31516623;1009585;0.24819539338120827;0.03203341297067265
1687081914096;1687081914196;3578172;15806011;56205716;1997050;0.22638045740952603;0.03553108370685999
1687081914411;1687081914511;6521509;25846625;80059253;2600594;0.2523156891857254;0.03248336578908624
1687081914765;1687081914865;2845803;8751137;41223919;662804;0.3251923721454709;0.016078141430464193
1687081915054;1687081915154;4871859;17674843;47277448;1275652;0.2756380353703849;0.02698225166468376
1687081915372;1687081915472;4333100;23593453;60201276;1620106;0.18365688142384246;0.026911489384377832
1687081915667;1687081915767;8893431;26178434;121037299;2679038;0.33972356788033997;0.022133986978675062
1687081916015;1687081916115;5928976;21391327;46805266;1632207;0.27716728373139266;0.03487229407050053
1687081916381;1687081916481;1643864;4787851;13895511;419361;0.34334067622405123;0.030179602606913845
1687081916661;1687081916761;1723387;7399904;21038265;675075;0.23289315645175937;0.032087959724815714
1687081916899;1687081916999;1528247;5968191;9816814;437684;0.25606536385983625;0.044585137296071824
1687081917203;1687081917303;6543162;21512357;39172232;1756399;0.30415830306274666;0.04483785861372413
1687081917531;1687081917631;2805938;7490988;15665724;684010;0.37457515617432574;0.04366283996832831
1687081917826;1687081917926;591320;5959011;18325042;201644;0.09923123149126592;0.011003740127853458
1687081918136;1687081918236;1296908;5090092;12548281;355629;0.25479067961836444;0.02834085401817189
1687081918425;1687081918525;1613313;6383761;12676985;376479;0.25272139730795057;0.02969783430366132
1687081918667;1687081918767;1375020;2523293;22318097;222416;0.5449307710202501;0.009965724228190243
1687081919022;1687081919122;2366574;12753057;27419310;498311;0.18556915412516387;0.018173725013503256
